ASV,cpd00254,cpd00063,cpd00205,cpd00034,cpd00030,cpd00149,cpd19013,cpd10515,cpd00058,cpd00099,cpd00048,cpd00009,cpd09225,cpd11574,cpd00131,cpd00547,cpd00104,cpd00393,cpd00263,cpd00220,cpd00218,cpd03424,cpd00541,cpd19112,cpd00971,cpd00244,cpd00443,cpd01079,cpd03387,cpd00305,cpd15574,cpd00240,cpd00067,cpd10393,cpd00074,cpd00011,cpd11640,cpd01024
Name,Mg,Ca2+,K+,Zn2+,Mn2+,Co2+,NH4+,Fe+2,Cu2+,Cl-,Sulfate,Phosphate,Boric acid,Molybdate,Molybdenum,Cysteine,BIOT,Folate,Pyridoxol,Riboflavin,Niacin,Vitamin B12,Lipoate,Calcium pantothenate,Na+,Ni2+,ABEE,Selenium,Selenite,Thiamin,tungstate,EDTA,H+,Triglycollamic acid,S,CO2,H2,Methane
Proteiniphilum.1,0/313/19/36/39/368,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/306/19/38/40/363,0/314/19/36/39/369,0/308/17/36/36/361,0/310/19/36/38/365,0/306/19/37/39/362,0/313/19/36/38/368,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/316/19/36/39/371,0/315/19/36/39/370,0/305/19/38/40/362,0/314/19/36/39/369,0/316/19/36/39/371,0/311/19/34/36/364,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/314/19/36/39/369,0/312/19/39/41/370,0/307/18/37/38/362,0/313/19/36/39/368,
midas_g_114992.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedimentibacter.4,,,,,,,,,,,,,,,,0/294/35/35/53/364,,,,,,,,,,,,,,,,,,,0/297/35/36/54/368,,,
Alcaligenes.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_9269.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_107376.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_109803.1,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/258/47/68/98/373,0/259/46/74/104/379,0/255/46/70/99/371,0/259/46/76/105/381,0/254/46/74/103/374,0/259/46/74/103/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/252/46/74/103/372,0/259/46/74/104/379,0/259/46/74/104/379,0/254/45/74/102/373,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/259/46/74/104/379,0/261/46/70/99/377,0/257/45/74/102/376,0/259/46/74/104/379,
Clostridium_sensu_stricto_7.1,,,,,,,,,,,,,,,,0/278/48/58/89/384,,,,,,,,,,,,,,,,,,,0/277/48/60/91/385,,,
Syntrophobacter.1,0/326/16/39/39/381,0/327/16/39/39/382,0/326/16/38/38/380,0/327/16/39/39/382,0/327/16/39/39/382,0/326/16/38/38/380,0/326/16/38/38/380,0/326/16/38/38/380,0/327/16/39/39/382,0/326/16/38/38/380,0/326/16/38/38/380,0/326/16/38/38/380,0/326/16/38/38/380,0/326/16/38/38/380,0/326/16/38/38/380,0/323/16/40/39/379,0/326/16/38/38/380,0/320/14/38/35/372,0/328/16/39/38/383,0/319/16/39/38/374,0/325/16/39/38/380,0/326/16/38/38/380,0/326/16/38/38/380,0/326/16/38/38/380,0/325/16/38/38/379,0/326/16/38/38/380,0/319/16/41/40/376,0/326/16/38/38/380,0/326/16/39/39/381,0/321/15/40/38/376,0/326/16/38/38/380,0/326/16/38/38/380,0/327/16/39/39/382,0/326/16/38/38/380,0/325/16/38/38/379,0/323/15/36/34/374,0/325/16/38/38/379,
HN-HF0106.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCG-009.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
