ASV,cpd00254,cpd00063,cpd00205,cpd00034,cpd00030,cpd00149,cpd19013,cpd10515,cpd00058,cpd00099,cpd00048,cpd00009,cpd09225,cpd11574,cpd00131,cpd00547,cpd00104,cpd00393,cpd00263,cpd00220,cpd00218,cpd03424,cpd00541,cpd19112,cpd00971,cpd00244,cpd00443,cpd01079,cpd03387,cpd00305,cpd15574,cpd00240,cpd00067,cpd10393,cpd00074,cpd00011,cpd11640,cpd01024
Name,Mg,Ca2+,K+,Zn2+,Mn2+,Co2+,NH4+,Fe+2,Cu2+,Cl-,Sulfate,Phosphate,Boric acid,Molybdate,Molybdenum,Cysteine,BIOT,Folate,Pyridoxol,Riboflavin,Niacin,Vitamin B12,Lipoate,Calcium pantothenate,Na+,Ni2+,ABEE,Selenium,Selenite,Thiamin,tungstate,EDTA,H+,Triglycollamic acid,S,CO2,H2,Methane
Proteiniphilum.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
midas_g_114992.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedimentibacter.4,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,
Alcaligenes.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_9269.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_107376.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_109803.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clostridium_sensu_stricto_7.1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,
Syntrophobacter.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HN-HF0106.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCG-009.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanomassiliicoccus.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thermovirga.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_114252.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christensenellaceae_R-7_group.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBG-16-49-21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
midas_g_30443.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
midas_g_36215.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christensenellaceae_R-7_group.18,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,
Methanosarcina.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca_Phosphitivorax.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christensenellaceae_R-7_group.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca_Caldatribacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dechlorobacter.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EBM-39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanobacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_399.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_33659.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenotrophomonas.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklawnia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_49937.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midas_g_36215.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetobacterium.1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,
Ruminiclostridium.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romboutsia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syner-01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudochelatococcus.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
