"Genus","sample","days","Metabolism","seq","sum_ab"
"Methanobacterium","1AB",45,"Hydrogenotroph/Acetoclastic","38b371de3be6ddef03bea94294e9830d",13.4945586457074
"Methanobacterium","1AB",45,"Hydrogenotroph/Acetoclastic","a353b92733af5260a57dd1a0ba3001e1",9.01451027811366
"Methanobacterium","1AB",45,"Hydrogenotroph/Acetoclastic","28f9a25539c92bd0c608d3c9cec7991b",0.912938331318017
"Methanobacterium","1AB",45,"Hydrogenotroph/Acetoclastic","c39f594d9d2493b66260c1f7503e5ea1",0.399032648125756
"Methanobrevibacter","1AB",45,"Hydrogenotroph/Acetoclastic","ed12d6c2cccee9737fcf027c28dc1504",0.0241837968561064
"Acetobacterium","1AB",45,"Acetogen","e144d237c973d831d708cac2c17df968",0
"Ca_Methanofastidiosum","1AB",45,"","c54740e67850b527400a77af33bd3d89",0
"Holophaga","1AB",45,"Acetogen","fe7d515eee6acf8b010d898180fbd580",0
"Methanobacterium","1AB",45,"Hydrogenotroph/Acetoclastic","7281c911136ba2bdcafebb9c71729dea",0
"Methanobacterium","1AB",45,"Hydrogenotroph/Acetoclastic","c4112b995ef6cd2f05559f6a3057bc7c",0
"Methanolinea","1AB",45,"Hydrogenotroph/Formate","326834f69c357dad79f31e792597dd1d",0
"Methanolinea","1AB",45,"Hydrogenotroph/Formate","89056b9f86a0886730db47a8c45825eb",0
"Methanomassiliicoccus","1AB",45,"Hydrogenotroph","fa8e5e27d8fba25e37fc05340a105914",0
"Ruminococcus","1AB",45,"Acetogen","c7dd46acb5a820a3c0db61d863812de8",0
"Treponema","1AB",45,"","5bf368734532c9983d05d3a115ea4595",0
"Treponema","1AB",45,"","d90a508c16f836b367d8a4e88bb43d27",0
"midas_g_76028","1AB",45,"Acetogen","966a27b7648de7ac63f5c15a8be0d10a",0
"Methanobacterium","3AB",66,"Hydrogenotroph/Acetoclastic","38b371de3be6ddef03bea94294e9830d",3.77567140600316
"Methanobacterium","3AB",66,"Hydrogenotroph/Acetoclastic","a353b92733af5260a57dd1a0ba3001e1",2.14849921011058
"Methanobacterium","3AB",66,"Hydrogenotroph/Acetoclastic","28f9a25539c92bd0c608d3c9cec7991b",0.363349131121643
"Methanobacterium","3AB",66,"Hydrogenotroph/Acetoclastic","c39f594d9d2493b66260c1f7503e5ea1",0.121116377040548
"Acetobacterium","3AB",66,"Acetogen","e144d237c973d831d708cac2c17df968",0
"Ca_Methanofastidiosum","3AB",66,"","c54740e67850b527400a77af33bd3d89",0
"Holophaga","3AB",66,"Acetogen","fe7d515eee6acf8b010d898180fbd580",0
"Methanobacterium","3AB",66,"Hydrogenotroph/Acetoclastic","7281c911136ba2bdcafebb9c71729dea",0
"Methanobacterium","3AB",66,"Hydrogenotroph/Acetoclastic","c4112b995ef6cd2f05559f6a3057bc7c",0
"Methanobrevibacter","3AB",66,"Hydrogenotroph/Acetoclastic","ed12d6c2cccee9737fcf027c28dc1504",0
"Methanolinea","3AB",66,"Hydrogenotroph/Formate","326834f69c357dad79f31e792597dd1d",0
"Methanolinea","3AB",66,"Hydrogenotroph/Formate","89056b9f86a0886730db47a8c45825eb",0
"Methanomassiliicoccus","3AB",66,"Hydrogenotroph","fa8e5e27d8fba25e37fc05340a105914",0
"Ruminococcus","3AB",66,"Acetogen","c7dd46acb5a820a3c0db61d863812de8",0
"Treponema","3AB",66,"","5bf368734532c9983d05d3a115ea4595",0
"Treponema","3AB",66,"","d90a508c16f836b367d8a4e88bb43d27",0
"midas_g_76028","3AB",66,"Acetogen","966a27b7648de7ac63f5c15a8be0d10a",0
"Methanobacterium","4AB",25,"Hydrogenotroph/Acetoclastic","38b371de3be6ddef03bea94294e9830d",0.0282386163078009
"Acetobacterium","4AB",25,"Acetogen","e144d237c973d831d708cac2c17df968",0
"Ca_Methanofastidiosum","4AB",25,"","c54740e67850b527400a77af33bd3d89",0
"Holophaga","4AB",25,"Acetogen","fe7d515eee6acf8b010d898180fbd580",0
"Methanobacterium","4AB",25,"Hydrogenotroph/Acetoclastic","28f9a25539c92bd0c608d3c9cec7991b",0
"Methanobacterium","4AB",25,"Hydrogenotroph/Acetoclastic","7281c911136ba2bdcafebb9c71729dea",0
"Methanobacterium","4AB",25,"Hydrogenotroph/Acetoclastic","a353b92733af5260a57dd1a0ba3001e1",0
"Methanobacterium","4AB",25,"Hydrogenotroph/Acetoclastic","c39f594d9d2493b66260c1f7503e5ea1",0
"Methanobacterium","4AB",25,"Hydrogenotroph/Acetoclastic","c4112b995ef6cd2f05559f6a3057bc7c",0
"Methanobrevibacter","4AB",25,"Hydrogenotroph/Acetoclastic","ed12d6c2cccee9737fcf027c28dc1504",0
"Methanolinea","4AB",25,"Hydrogenotroph/Formate","326834f69c357dad79f31e792597dd1d",0
"Methanolinea","4AB",25,"Hydrogenotroph/Formate","89056b9f86a0886730db47a8c45825eb",0
"Methanomassiliicoccus","4AB",25,"Hydrogenotroph","fa8e5e27d8fba25e37fc05340a105914",0
"Ruminococcus","4AB",25,"Acetogen","c7dd46acb5a820a3c0db61d863812de8",0
"Treponema","4AB",25,"","5bf368734532c9983d05d3a115ea4595",0
"Treponema","4AB",25,"","d90a508c16f836b367d8a4e88bb43d27",0
"midas_g_76028","4AB",25,"Acetogen","966a27b7648de7ac63f5c15a8be0d10a",0
"Acetobacterium","5AB",79,"Acetogen","e144d237c973d831d708cac2c17df968",0
"Ca_Methanofastidiosum","5AB",79,"","c54740e67850b527400a77af33bd3d89",0
"Holophaga","5AB",79,"Acetogen","fe7d515eee6acf8b010d898180fbd580",0
"Methanobacterium","5AB",79,"Hydrogenotroph/Acetoclastic","28f9a25539c92bd0c608d3c9cec7991b",0
"Methanobacterium","5AB",79,"Hydrogenotroph/Acetoclastic","38b371de3be6ddef03bea94294e9830d",0
"Methanobacterium","5AB",79,"Hydrogenotroph/Acetoclastic","7281c911136ba2bdcafebb9c71729dea",0
"Methanobacterium","5AB",79,"Hydrogenotroph/Acetoclastic","a353b92733af5260a57dd1a0ba3001e1",0
"Methanobacterium","5AB",79,"Hydrogenotroph/Acetoclastic","c39f594d9d2493b66260c1f7503e5ea1",0
"Methanobacterium","5AB",79,"Hydrogenotroph/Acetoclastic","c4112b995ef6cd2f05559f6a3057bc7c",0
"Methanobrevibacter","5AB",79,"Hydrogenotroph/Acetoclastic","ed12d6c2cccee9737fcf027c28dc1504",0
"Methanolinea","5AB",79,"Hydrogenotroph/Formate","326834f69c357dad79f31e792597dd1d",0
"Methanolinea","5AB",79,"Hydrogenotroph/Formate","89056b9f86a0886730db47a8c45825eb",0
"Methanomassiliicoccus","5AB",79,"Hydrogenotroph","fa8e5e27d8fba25e37fc05340a105914",0
"Ruminococcus","5AB",79,"Acetogen","c7dd46acb5a820a3c0db61d863812de8",0
"Treponema","5AB",79,"","5bf368734532c9983d05d3a115ea4595",0
"Treponema","5AB",79,"","d90a508c16f836b367d8a4e88bb43d27",0
"midas_g_76028","5AB",79,"Acetogen","966a27b7648de7ac63f5c15a8be0d10a",0
"Methanobacterium","6AB",81,"Hydrogenotroph/Acetoclastic","38b371de3be6ddef03bea94294e9830d",2.44969378827647
"Acetobacterium","6AB",81,"Acetogen","e144d237c973d831d708cac2c17df968",0
"Ca_Methanofastidiosum","6AB",81,"","c54740e67850b527400a77af33bd3d89",0
"Holophaga","6AB",81,"Acetogen","fe7d515eee6acf8b010d898180fbd580",0
"Methanobacterium","6AB",81,"Hydrogenotroph/Acetoclastic","28f9a25539c92bd0c608d3c9cec7991b",0
"Methanobacterium","6AB",81,"Hydrogenotroph/Acetoclastic","7281c911136ba2bdcafebb9c71729dea",0
"Methanobacterium","6AB",81,"Hydrogenotroph/Acetoclastic","a353b92733af5260a57dd1a0ba3001e1",0
"Methanobacterium","6AB",81,"Hydrogenotroph/Acetoclastic","c39f594d9d2493b66260c1f7503e5ea1",0
"Methanobacterium","6AB",81,"Hydrogenotroph/Acetoclastic","c4112b995ef6cd2f05559f6a3057bc7c",0
"Methanobrevibacter","6AB",81,"Hydrogenotroph/Acetoclastic","ed12d6c2cccee9737fcf027c28dc1504",0
"Methanolinea","6AB",81,"Hydrogenotroph/Formate","326834f69c357dad79f31e792597dd1d",0
"Methanolinea","6AB",81,"Hydrogenotroph/Formate","89056b9f86a0886730db47a8c45825eb",0
"Methanomassiliicoccus","6AB",81,"Hydrogenotroph","fa8e5e27d8fba25e37fc05340a105914",0
"Ruminococcus","6AB",81,"Acetogen","c7dd46acb5a820a3c0db61d863812de8",0
"Treponema","6AB",81,"","5bf368734532c9983d05d3a115ea4595",0
"Treponema","6AB",81,"","d90a508c16f836b367d8a4e88bb43d27",0
"midas_g_76028","6AB",81,"Acetogen","966a27b7648de7ac63f5c15a8be0d10a",0
"Methanobacterium","7AB",NA,"Hydrogenotroph/Acetoclastic","38b371de3be6ddef03bea94294e9830d",12.0695391781733
"Methanobacterium","7AB",NA,"Hydrogenotroph/Acetoclastic","a353b92733af5260a57dd1a0ba3001e1",2.05456662784894
"Methanobacterium","7AB",NA,"Hydrogenotroph/Acetoclastic","c39f594d9d2493b66260c1f7503e5ea1",1.20612210946598
"Methanobacterium","7AB",NA,"Hydrogenotroph/Acetoclastic","28f9a25539c92bd0c608d3c9cec7991b",0.956579604059225
"Methanobacterium","7AB",NA,"Hydrogenotroph/Acetoclastic","7281c911136ba2bdcafebb9c71729dea",0.207952087838962
"Methanolinea","7AB",NA,"Hydrogenotroph/Formate","89056b9f86a0886730db47a8c45825eb",0.16636167027117
"Methanobacterium","7AB",NA,"Hydrogenotroph/Acetoclastic","c4112b995ef6cd2f05559f6a3057bc7c",0.149725503244053
"Methanomassiliicoccus","7AB",NA,"Hydrogenotroph","fa8e5e27d8fba25e37fc05340a105914",0.124771252703377
"midas_g_76028","7AB",NA,"Acetogen","966a27b7648de7ac63f5c15a8be0d10a",0.0499085010813509
"Acetobacterium","7AB",NA,"Acetogen","e144d237c973d831d708cac2c17df968",0
"Ca_Methanofastidiosum","7AB",NA,"","c54740e67850b527400a77af33bd3d89",0
"Holophaga","7AB",NA,"Acetogen","fe7d515eee6acf8b010d898180fbd580",0
"Methanobrevibacter","7AB",NA,"Hydrogenotroph/Acetoclastic","ed12d6c2cccee9737fcf027c28dc1504",0
"Methanolinea","7AB",NA,"Hydrogenotroph/Formate","326834f69c357dad79f31e792597dd1d",0
"Ruminococcus","7AB",NA,"Acetogen","c7dd46acb5a820a3c0db61d863812de8",0
"Treponema","7AB",NA,"","5bf368734532c9983d05d3a115ea4595",0
"Treponema","7AB",NA,"","d90a508c16f836b367d8a4e88bb43d27",0
"Ruminococcus","2AB",1,"Acetogen","c7dd46acb5a820a3c0db61d863812de8",1.03441416351701
"Ca_Methanofastidiosum","2AB",1,"","c54740e67850b527400a77af33bd3d89",0.517207081758504
"Methanolinea","2AB",1,"Hydrogenotroph/Formate","326834f69c357dad79f31e792597dd1d",0.477421921623235
"Methanobacterium","2AB",1,"Hydrogenotroph/Acetoclastic","c39f594d9d2493b66260c1f7503e5ea1",0.218818380743982
"Acetobacterium","2AB",1,"Acetogen","e144d237c973d831d708cac2c17df968",0.0795703202705391
"Treponema","2AB",1,"","5bf368734532c9983d05d3a115ea4595",0.0497314501690869
"Holophaga","2AB",1,"Acetogen","fe7d515eee6acf8b010d898180fbd580",0.0397851601352695
"Treponema","2AB",1,"","d90a508c16f836b367d8a4e88bb43d27",0.0198925800676348
"Methanobacterium","2AB",1,"Hydrogenotroph/Acetoclastic","28f9a25539c92bd0c608d3c9cec7991b",0
"Methanobacterium","2AB",1,"Hydrogenotroph/Acetoclastic","38b371de3be6ddef03bea94294e9830d",0
"Methanobacterium","2AB",1,"Hydrogenotroph/Acetoclastic","7281c911136ba2bdcafebb9c71729dea",0
"Methanobacterium","2AB",1,"Hydrogenotroph/Acetoclastic","a353b92733af5260a57dd1a0ba3001e1",0
"Methanobacterium","2AB",1,"Hydrogenotroph/Acetoclastic","c4112b995ef6cd2f05559f6a3057bc7c",0
"Methanobrevibacter","2AB",1,"Hydrogenotroph/Acetoclastic","ed12d6c2cccee9737fcf027c28dc1504",0
"Methanolinea","2AB",1,"Hydrogenotroph/Formate","89056b9f86a0886730db47a8c45825eb",0
"Methanomassiliicoccus","2AB",1,"Hydrogenotroph","fa8e5e27d8fba25e37fc05340a105914",0
"midas_g_76028","2AB",1,"Acetogen","966a27b7648de7ac63f5c15a8be0d10a",0
