Sample,cpd00254,cpd00063,cpd00205,cpd00034,cpd00030,cpd00149,cpd19013,cpd10515,cpd00058,cpd00099,cpd00048,cpd00009,cpd09225,cpd11574,cpd00131,cpd00547,cpd00104,cpd00393,cpd00263,cpd00220,cpd00218,cpd03424,cpd00541,cpd19112,cpd00971,cpd00244,cpd00443,cpd01079,cpd03387,cpd00305,cpd15574,cpd00240,cpd00067,cpd10393,cpd00074,cpd00011,cpd11640
Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mg,Ca2+,K+,Zn2+,Mn2+,Co2+,NH4+,Fe+2,Cu2+,Cl-,Sulfate,Phosphate,Boric acid,Molybdate,Molybdenum,Cysteine,BIOT,Folate,Pyridoxol,Riboflavin,Niacin,Vitamin B12,Lipoate,Calcium pantothenate,Na+,Ni2+,ABEE,Selenium,Selenite,Thiamin,tungstate,EDTA,H+,Triglycollamic acid,S,CO2,H2
10AB,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565,0.0075034106412005565
A34,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858,0.005856515373352858
B34,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382,0.005980239209568382
C3,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.04210526315789476,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123,0.0392543859649123
D34,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.031019577930333095,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697,0.027968471904398697
E34,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306,0.034304091477577306
F34,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.01490713587487778,0.014418377321603098,0.07991202346041046,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098,0.014418377321603098
G12,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00901756051257712,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968,0.00593260560037968
